CEP;Tipo_Logradouro;Logradouro;Complemento;Local;Bairro;Cidade;cod_cidade;UF;Estado;cod_estado
01029901;;Rua Florêncio de Abreu 157;;Edifício São Bento;Centro;São Paulo;3550308;SP;São Paulo;35
01227200;Avenida;Angélica;- de 1711 ao fim - lado ímpar;;Consolação;São Paulo;3550308;SP;São Paulo;35
01251000;Rua;Cardoso de Almeida;- de 1690 ao fim - lado par;;Sumaré;São Paulo;3550308;SP;São Paulo;35
01255010;Rua;Antonina;;;Sumaré;São Paulo;3550308;SP;São Paulo;35
01308040;Rua;São Miguel;;;Bela Vista;São Paulo;3550308;SP;São Paulo;35
01311914;;Avenida Paulista 777;;Edifício Viking;Bela Vista;São Paulo;3550308;SP;São Paulo;35
01332906;;Alameda Rio Claro 190;;Edifício Humberto Primo;Bela Vista;São Paulo;3550308;SP;São Paulo;35
01416902;;Rua da Consolação 3064;;Edifício Jardim América;Cerqueira César;São Paulo;3550308;SP;São Paulo;35
01426040;Travessa;das Estrelas Novas;;;Cerqueira César;São Paulo;3550308;SP;São Paulo;35
01501001;Praça;Doutor João Mendes; lado ímpar;;Centro;São Paulo;3550308;SP;São Paulo;35
01543000;Rua;Heitor Peixoto;- até 429/430;;Cambuci;São Paulo;3550308;SP;São Paulo;35
01546120;Rua;São João Del Rei;;;Jardim da Glória;São Paulo;3550308;SP;São Paulo;35
02072001;Avenida;Conceição;- de 911/912 a 1573/1574;;Carandiru;São Paulo;3550308;SP;São Paulo;35
02084150;Rua;Articura;;;Vila Isolina Mazzei;São Paulo;3550308;SP;São Paulo;35
02119020;Rua;Prefeito Milton Improta;- até 309/310;;Vila Maria Baixa;São Paulo;3550308;SP;São Paulo;35
02123005;Travessa;Manuel Lainez;;;Jardim Japão;São Paulo;3550308;SP;São Paulo;35
02131040;Rua;Hiroshima;;;Vila Maria Alta;São Paulo;3550308;SP;São Paulo;35
02138000;Praça;Lourenço Billis;;;Vila Sabrina;São Paulo;3550308;SP;São Paulo;35
02140030;Rua;Antionha;;;Vila Sabrina;São Paulo;3550308;SP;São Paulo;35
02147015;Praça;Cláudio Leonardi;;;Parque Novo Mundo;São Paulo;3550308;SP;São Paulo;35
02190080;Rua;João de Lara da Cunha;;;Parque Novo Mundo;São Paulo;3550308;SP;São Paulo;35
02201020;Rua;Alípio de Sousa;;;Vila Gustavo;São Paulo;3550308;SP;São Paulo;35
02207080;Rua;Carlos Alberto Luiz;;;Vila Medeiros;São Paulo;3550308;SP;São Paulo;35
02209150;Travessa;Ana Ferrara;;;Vila Medeiros;São Paulo;3550308;SP;São Paulo;35
02216060;Rua;Armando Paim;;;Vila Medeiros;São Paulo;3550308;SP;São Paulo;35
02217020;Rua;Joaquim de Souza Pacheco Filho;;;Vila Medeiros;São Paulo;3550308;SP;São Paulo;35
02221140;Travessa;Carlos Cardin;;;Jardim Brasil (Zona Norte);São Paulo;3550308;SP;São Paulo;35
02224010;Avenida;Major Roberto dos Santos;;;Jardim Brasil (Zona Norte);São Paulo;3550308;SP;São Paulo;35
02227310;Praça;Erotides de Campos;;;Jardim Brasil (Zona Norte);São Paulo;3550308;SP;São Paulo;35
02248001;Rua;Cruz de Malta;- de 681/682 ao fim;;Parada Inglesa;São Paulo;3550308;SP;São Paulo;35
02280105;Travessa;Halésia;;;Jardim Brasil (Zona Norte);São Paulo;3550308;SP;São Paulo;35
02320160;Rua;Tríplice Aliança;;;Parque Casa de Pedra;São Paulo;3550308;SP;São Paulo;35
